sampleid,simpson_reciprocal
1252CC,1.59384
166E,2.37536
FMT.0222S,5.80943
2162E,1.23951
1124D,8.80548
287C,1.17937
449C,1.98976
192E,2.8302
202D,2.52776
633E,1.71836
573E,25.1461
514B,1.61078
2163H,1.01914
563D,2.07671
FMT.0194R,4.99503
678E,5.95819
566D,3.43531
619F,6.23716
641F,1.65588
626E,1.64607
689F,7.27878
951B,3.76299
907C,1.15059
948E,3.16864
1362G,1.7882
1671I,2.48611
FMT.0062V,1.11468
1262E,5.80415
FMT.0090P,1.65226
1709I,4.24293
1243Q,1.47816
1230M,2.69586
1326I,1.05491
1372N,1.08767
1353H,1.92626
FMT.0189P,5.6709
1644C,13.7915
1577J,3.40647
FMT.0212F,1.03635
1861E,4.95968
1766O,1.28419
2180G,2.71857
1873K,3.17345
1928K,8.20949
1908E,12.9416
2035D,8.0873
2181L,18.2251
1246H,6.96106
1842U,1.63504
640J,1.73838
FMT.0239H,6.19697
1796G,11.8163
613S,3.79928
628R,20.1672
1108G,1.21641
1629D,14.0863
FMT.0022E,1.196
FMT.0118I,10.3577
2102C,12.952
FMT.0004B,4.45712
1160W,5.48859
1195DD,1.22652
FMT.0154M,4.09305
FMT.0012H,3.92759
1136E,25.2836
FMT.0241G,7.88495
1814X,1.03971
1092L,3.4363
FMT.0225E,1.54796
1345K,5.84548
FMT.0057I,12.2867
1191T,5.11349
FMT.0107S,13.2457
1381E,1.51984
FMT.0112W,3.17221
FMT.0216G,10.3234
1366U,3.61703
1398M,13.9334
FMT.0147M,10.4404
FMT.0191O,8.91008
FMT.0200K,7.08618
1462H,4.17676
1460O,5.01603
1705W,5.57946
FMT.0243J,18.6347
1532G,4.80774
1711N,6.07449
1700I,8.57361
1805J,2.66952
1791F,5.86115
1789P,14.7972
2344D,9.42879
2182J,4.19947
2280E,19.3362
2090E,1.25407
2055B,10.4449
2104L,4.29025
2147I,2.66948
2323K,3.88468
2418K,12.4882
599C,3.72655
FMT.0146E,5.48032
896F,4.2197
668T,4.56083
1570M,6.47869
2045H,6.14404
1276I,6.83394
1312K,10.5477
FMT.0197U,7.08227
FMT.0229K,4.72724
FMT.0220E,13.683
1839K,5.26237
1855J,4.84736
1824K,3.00234
1975F,9.7109
FMT.0205K,2.89857
FMT.0185O,1.10803
1015D,1.21542
274D,1.92401
275F,8.46146
223D,1.55199
247E,1.55457
1049,2.54455
1096,13.957
179D,6.23482
1101P,1.6933
1700G,3.83043
2151E,4.67735
2244H,9.4869
1511K,3.41694
FMT.0010E,2.32621
922C,5.54894
832D,1.54747
836D,2.98467
563C,2.55415
594B,37.8716
410D,6.35387
266D,9.86423
226E,1.04962
123B,1.05806
172D,2.40252
1366N,2.47763
1075K,2.87334
FMT.0240N,6.4744
FMT.0243H,2.61892
1657J,12.2336
1671G,1.36725
1690K,4.61571
1705N,2.16096
1398K,10.8457
1791C,3.65622
1789J,1.04255
1802J,5.22127
1810C,13.1672
1814M,2.02644
1839F,1.0012
1893H,2.42392
1896F,2.17358
1937H,5.79681
1976E,7.75633
2104H,3.48278
1987F,1.32151
2276G,16.294
FMT.0172L,1.13079
FMT.0192P,4.14582
FMT.0200H,1.41266
FMT.0203F,1.0491
FMT.0212C,2.37601
FMT.0197K,5.41817
1528I,3.02174
1567J,5.29291
FMT.0012E,4.19371
1063C,1.62617
964B,1.52681
973B,6.4438
979D,2.00859
640H,1.73119
896E,1.93049
663D,1.47135
928B,2.08996
939C,1.04207
862D,7.20984
780B,1.49131
817C,1.20109
755D,5.75828
759B,1.63402
606D,3.0827
613K,2.35304
575D,1.02614
251B,1.47355
983C,3.61922
FMT.0039B,8.28884
1628C,1.06935
1846E,3.60992
1855F,5.83694
1975E,6.53529
1805H,4.24758
2147E,6.75311
2164C,4.09003
2149H,13.2445
2158B,2.80506
2180C,1.55013
2182F,8.60396
1351K,1.0803
1742J,7.40611
2260D,1.03855
2285E,6.89207
2323H,3.8277
FMT.0169M,7.29488
FMT.0199B,6.12952
FMT.0208J,5.67018
2119G,1.25452
FMT.0216F,1.30131
2133D,4.70011
FMT.0019E,4.87222
1276F,2.45044
FMT.0112R,3.9586
FMT.0118C,10.3877
1339H,3.03251
1176P,1.51441
1362E,20.8158
FMT.0067K,8.8788
1195Q,1.07872
1252Q,1.52497
FMT.0146D,1.88363
FMT.0147H,4.70973
1099D,8.99821
1208D,16.0825
1168A,5.63701
FMT.0080M,2.41888
FMT.0102G,2.96989
1245P,5.20445
FMT.0011B,1.13464
1364N,5.85599
FMT.0187K,7.40197
FMT.0066K,3.11149
FMT.0107P,4.48138
FMT.0042E,10.5594
1334G,13.852
1445A,5.02064
1302C,3.56367
FMT.0074O,7.08858
FMT.0007C,15.234
878D,5.66921
FMT.0054H,8.52771
FMT.0225C,3.6918
FMT.0137H,1.44036
1297D,2.12552
1561F,4.26638
1250E,1.44499
1029E,31.9059
1848H,12.9418
FMT.0110J,4.74725
1160M,2.36581
1246G,6.90116
882E,2.2029
FMT.0063P,1.30135
668R,4.79585
1141C,9.89522
1233I,2.24535
988C,2.27611
FMT.0131I,5.13732
FMT.0023K,14.8901
1107H,2.16419
FMT.0103T,4.15751
1173Q,10.5012
1151F,2.39046
1209I,7.22593
1381C,1.64064
FMT.0191F,1.64909
FMT.0178I,4.61699
