bile_acid,prim_vs_sec,micr_vs_host,amidated,glycine,taurine,sulfated,udca
beta_muricholic_acid,NA,unknown,N,N,N,N,N
chenodeoxycholic_acid,Primary,host,N,N,N,N,N
chenodeoxycholic_acid_3_sulfate,Primary,host,N,N,N,Y,N
cholic_acid,Primary,host,N,N,N,N,N
cholic_acid_3_sulfate,Primary,host,N,N,N,Y,N
deoxycholic_acid,Secondary,microbe,N,N,N,N,N
deoxycholic_acid_3_sulfate,Secondary,microbe,N,N,N,Y,N
glycochenodeoxycholic_acid,Primary,host,Y,Y,N,N,N
glycochenodeoxycholic_acid_3_sulfate,Primary,host,N,N,N,Y,N
glycocholic_acid,Primary,host,Y,Y,N,N,N
glycocholic_acid_3_sulfate,Primary,host,N,N,N,Y,N
glycodeoxycholic_acid,Secondary,microbe,Y,Y,N,N,N
glycodeoxycholic_acid_3_sulfate,Secondary,microbe,N,N,N,Y,N
glycolithocholic_acid,Secondary,microbe,Y,Y,N,N,N
glycolithocholic_acid_3_sulfate,Secondary,microbe,N,N,N,Y,N
glycoursodeoxycholic_acid,Secondary,microbe/exogenous,Y,Y,N,N,Y
glycoursodeoxycholic_acid_3_sulfate,Secondary,microbe/exogenous,N,N,N,Y,Y
lithocholic_acid,Secondary,microbe,N,N,N,N,N
lithocholic_acid_3_sulfate,Secondary,microbe,N,N,N,Y,N
omega_muricholic_acid,NA,unkown,N,N,N,N,N
taurochenodeoxycholic_acid,Primary,host,Y,N,Y,N,N
taurocholic_acid,Primary,host,Y,N,Y,N,N
taurodeoxycholic_acid,Secondary,microbe,Y,N,Y,N,N
taurolithocholic_acid,Secondary,microbe,Y,N,Y,N,N
tauroursodeoxycholic_acid,Secondary,microbe/exogenous,Y,N,Y,N,Y
ursodeoxycholic_acid,Secondary,microbe/exogenous,N,N,N,N,Y
ursodeoxycholic_acid_3_sulfate,Secondary,microbe/exogenous,N,N,N,Y,Y
